id,nombre,descripcion,casa_productora,precio,existencia
721,RIBASPHERE RibaPak,"Mech compl of oth urinary devices and implants, init encntr","PAR Pharmaceutical Companies, Inc.",$883.29,09
722,Ironman Glory,Breakdown (mechanical) of int fix of vertebrae,"Avon Products, Inc.",$185.43,02
723,PRAVASTATIN SODIUM,"Unspecified sprain of unspecified finger, subs encntr",St Marys Medical Park Pharmacy,$924.88,11
724,enema,"Infect/inflm reaction due to int fix of right femur, subs",Meijer Distribution Inc,$516.86,13
725,Nisoldipine,"Adverse effect of slctv serotonin reuptake inhibtr, sequela",Prasco Laboratories,$53.21,01
726,Hydrochlorothiazide,Other spinal muscular atrophies and related syndromes,Mylan Institutional Inc.,$614.04,09
727,Losartan Potassium,"Oth fx head/neck of l femr, 7thF",Cadila Healthcare Limited,$752.03,08
728,Levothyroxine Sodium,Campylobacter enteritis,"Northwind Pharmaceuticals, LLC",$84.00,01
729,Fenofibrate,"Discitis, unspecified, occipito-atlanto-axial region",American Health Packaging,$632.43,12
730,povidine iodine,"Epidural hemorrhage w LOC >24 hr w ret consc lev, sequela",Dynarex Corporation,$986.14,15
731,topiramate,"Barton's fracture of unspecified radius, sequela",American Health Packaging,$131.86,08
732,Methscopolamine Bromide,"Corrosion of unspecified degree of right foot, init encntr",E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,$471.33,14
733,Degree,Unspecified dislocation of left acromioclavicular joint,Conopco Inc. d/b/a Unilever,$419.64,02
734,Alka-Seltzer Fruit Chews,Laceration w/o foreign body of r rng fngr w damage to nail,"Bayer HealthCare LLC, Consumer Care",$350.37,14
735,Ocean Potion Instant Dry 30 Mist Water Sport Sunscreen,"Body mass index (BMI) 31.0-31.9, adult","Sun & Skin Care Research, LLC",$354.90,14
736,Carvedilol,Congenital unstable hip,REMEDYREPACK INC.,$869.23,06
737,Silk Antibacterial Foaming Hand Fresh Pear,"Nondisp fx of prox phalanx of r mid finger, init for opn fx","Blue Cross Laboratories, Inc.",$305.80,09
738,IVA ANNUA VAR ANNUA POLLEN,"Vestibular neuronitis, left ear","ALK-Abello, Inc.",$505.16,04
739,RABBIT HAIR AND EPITHELIA,"Puncture wound with foreign body, left knee","Allergy Laboratories, Inc.",$902.55,01
740,COREG,"Lesion of radial nerve, left upper limb",GlaxoSmithKline LLC,$665.63,04
741,Wakefern,"Other spondylosis with radiculopathy, site unspecified",Wakefern,$403.69,01
742,TRILYTE,Unsp traum displ spondylolysis of fourth cervcal vertebra,Alaven Pharmaceutical LLC,$517.72,10
743,ibuprofen,"Malig neoplm of ovrlp sites of heart, mediastinum and pleura",Publix Super Markets Inc,$389.50,06
744,Temovate,"Sltr-haris Type I physl fx upper end radius, left arm, init",PharmaDerm A division of Fougera Pharmaceuticals Inc.,$410.95,15
745,White Pine,"Person injured wh brd/alit from special agri vehicle, init","Nelco Laboratories, Inc.",$544.19,08
746,Night Time Original,"Sltr-haris Type I physeal fx unspecified metatarsal, sequela",Nash-Finch Company,$943.36,12
747,Methocarbamol,Carnitine deficiency due to inborn errors of metabolism,"H.J. Harkins Company, Inc.",$152.10,06
748,Assured Day time Cold and Cough,"Poisoning by other viral vaccines, assault, sequela","Bio-Pharm, Inc.",$146.82,15
749,Cocklebur,"Unspecified open wound, right ankle, initial encounter","Antigen Laboratories, Inc.",$975.78,04
750,Isopropyl Alcohol,Sprain of unspecified ligament of left ankle,Kroger Co,$467.67,03
751,KONSYL Sugar Free Orange Flavor Psyllium Fiber,"Dislocation of tarsometatarsal joint of right foot, sequela","Konsyl Pharmaceuticals, Inc.",$779.84,12
752,Ziprasidone Hydrochloride,"Unspecified injury of dorsal vein of left foot, subs encntr","Lupin Pharmaceuticals, Inc.",$737.20,14
753,Childrens Mucus Relief Expectorant Grape,"Lac w/o fb of abd wall, l upr q w/o penet perit cav, subs",Good Neighbor Pharmacy,$272.84,08
754,SPONGIA TOSTA,"Other physeal fracture of right metatarsal, 7thG",Hyland's,$840.56,05
755,Piroxicam,"Interstitial myositis, unspecified hand","Physicians Total Care, Inc.",$241.22,04
756,Rohto Relief,"Open bite of unspecified breast, initial encounter",The Mentholatum Company,$876.96,01
757,HEPAR SULPHURIS CALCAREUM,"Nondisp intertroch fx r femr, 7thF",REMEDY MAKERS,$696.23,06
758,Cerafill Retaliate,"Strain of musc/fasc/tend long head of biceps, unsp arm, subs","L'oreal Usa, Inc.",$565.21,08
759,BeneFIX,"Superficial foreign body, unspecified knee, init encntr","Wyeth BioPharma Division of Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",$902.34,15
760,edarbi,"Nondisp oblique fx shaft of r ulna, 7thN","Takeda Pharmaceuticals America, Inc.",$210.69,03
761,Prednisolone Sodium Phosphate,"Corrosion of unspecified degree of right wrist, init encntr","Physicians Total Care, Inc.",$415.17,09
762,Hydromorphone Hydrochloride,"Unsp fx second MC bone, right hand, subs for fx w delay heal","Mallinckrodt, Inc.",$160.02,09
763,Nicotine UN1654,"Osteonecrosis in diseases classified elsewhere, right thigh",Nicobrand LTD,$924.17,09
764,Atenolol,"Struck by falling object on oth powered watercraft, subs",REMEDYREPACK INC.,$609.38,02
765,TAVIST,"Unspecified kyphosis, cervicothoracic region","Novartis Consumer Health, Inc.",$879.64,05
766,Pramipexole Dihydrochloride,"Toxic effect of phosphorus and its compounds, self-harm","Breckenridge Pharmaceutical, Inc.",$430.66,14
767,Desferal,"Athscl native arteries of extrm w gangrene, unsp extremity",Novartis Pharmaceuticals Corporation,$534.56,08
768,Invirase,"Disp fx of lateral end l clavicle, subs for fx w routn heal","Genentech, Inc.",$860.51,03
769,Ranitidine,"Abrasion of unspecified ear, initial encounter",Unit Dose Services,$772.26,06
770,ziprasidone hydrochloride,"Breakdown of vascular dialysis catheter, sequela",REMEDYREPACK INC.,$403.23,07
771,Ultra Nutrition Eye,"Oth disrd of bone density and structure, right shoulder","AMI Cosmetic Co.,Ltd.",$18.74,08
772,GENOTROPIN,"Unspecified subluxation of unspecified hip, sequela",Pharmacia and Upjohn Company,$712.47,11
773,Levothyroxine sodium,Displaced fracture of neck of unspecified metacarpal bone,Sandoz Inc.,$686.28,01
774,Micro-K Extencaps,"Sltr-haris Type III physl fx low end unsp tibia, 7thK",Ther-Rx Corporation,$890.91,04
775,DiorSkin Nude 052 Rosy Bronze,Other fracture of unspecified femur,Parfums Christian Dior,$106.27,01
776,Thymupar,"Zygomatic fracture, left side, 7thB",Apotheca Company,$196.62,09
777,pain relief pm,"Orbital myositis, right orbit",Meijer Distribution Inc,$694.24,07
778,modafinil,"Dislocation of proximal interphaln joint of l idx fngr, subs","Aphena Pharma Solutions - Tennessee, LLC",$936.81,08
779,Hand Wash Nettoyant Pour Les Mains Vallina Tuberose,Motorcycle rider injured in collision w oth nonmotor vehicle,"Xiamen Anna Global Co., Ltd",$959.68,10
780,Rimmel London,"Displ suprcndl fx w intrcndl extn low end unsp femr, 7thN",Lancaster S.A.M.,$190.67,04
781,Hand Wash Nettoyant Pour Les Mains Orange Pekoe,Unspecified abdominal hernia without obstruction or gangrene,"Xiamen Anna Global Co., Ltd",$123.50,06
782,Cetirizine Hydrochloride,"Corrosion of unsp degree of unspecified palm, init encntr",Pack Pharmaceuticals LLC,$568.93,10
783,Moisturizer SPF15,Dyshidrosis [pompholyx],Goodier Cosmetics LP,$314.33,13
784,age renewal deep wrinkle moisturizer,Other physeal fracture of left calcaneus,"AMCOL Health and Beauty Solutions, Inc.",$26.98,08
785,Carvedilol,Other sprain of left elbow,REMEDYREPACK INC.,$437.59,03
786,Nortriptyline Hydrochloride,"Nondisp Rolando's fracture, l hand, subs for fx w nonunion",Clinical Solutions Wholesale,$597.92,12
787,Ludent,"Soft tissue disorder, unspecified",Bryant Ranch Prepack,$126.77,08
788,Carvedilol,"Passenger on bus injured in clsn w unsp mv nontraf, init",Aurobindo Pharma Limited,$623.31,03
789,Aspirin Free Pain Relief,"Other premature separation of placenta, first trimester",Safeway,$708.54,09
790,Quinapril Hydrochloride and Hydrochlorothiazide,"Pnctr w/o foreign body of finger w/o damage to nail, subs","Physicians Total Care, Inc.",$553.96,10
791,CLINDAMYCIN,"Toxic effect of corrosive organic compounds, undet, sequela","General Injectables & Vaccines, Inc",$955.38,06
792,Loperamide Hydrochloride,"War operations involving explosion of torpedo, milt, subs",Cardinal Health,$87.67,08
793,Antimicrobial Hand,"Collapsed vertebra, NEC, lumbosacral region, sqla",Moore Medical LLC,$334.43,03
794,Folic Acid,Other disorders of tooth development,Qualitest Pharmaceuticals,$876.29,05
795,GORILLA WARFARE,"Diseases of the nervous sys comp pregnancy, third trimester","G.S. COSMECEUTICAL USA, INC.",$473.68,08
796,Morphine Sulfate,"Disp fx of med wall of unsp acetab, subs for fx w routn heal",Bryant Ranch Prepack,$253.30,12
797,Goldlove Hand Sanitizer,Inj oth blood vessels at wrist and hand level of left arm,"Cixi Zhixin Bird Clean-care Product Co., Ltd.",$314.36,06
798,Edarbyclor,"Toxic effect of tobacco cigarettes, self-harm, sequela",Arbor Pharmaceuticals Ireland Limited,$574.02,04
799,Green Guard Ibupro Relief,"Other specified disorders of synovium, right elbow",Unifirst First Aid Corporation,$818.74,15
800,rea lo 40,"Unsp fx low end unsp ulna, 7thH",Crown Laboratories,$806.18,07
801,Liothyronine sodium,"Matern care for known or susp placntl insuff, 2nd tri, unsp",Mylan Pharmaceuticals Inc.,$904.96,03
802,ACONITUM NAPELLUS,"Oth fx shaft of l femur, subs for opn fx type I/2 w nonunion",HOMEOLAB USA INC,$491.22,13
803,Sween 24,"Unsp injury of muscle, fascia and tendon of abdomen, sequela","Coloplast Manufacturing US, LLC",$802.86,11
804,Dopamine Hydrochloride and Dextrose,"Inj oth blood vessels at lower leg level, left leg, sequela","Hospira, Inc.",$851.74,04
805,Lortab,Dual sensory impairment,A-S Medication Solutions LLC,$261.52,13
806,Doxorubicin Hydrochloride,"Type II occipital condyle fracture, unspecified side, 7thB",Sun Pharma Global FZE,$337.55,13
807,Tiger Balm,"Blister (nonthermal) of right upper arm, subs encntr",Haw Par Healthcare Ltd.,$504.42,05
808,Bengay Ultra Strength Pain Relieving,"Disp fx of head of r rad, 7thN","Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",$969.75,06
809,Octreotide acetate,"Nondisp seg fx shaft of humer, l arm, 7thD",Wockhardt USA LLC.,$41.07,03
810,Calcipotriene,"Strain extensor musc/fasc/tend l rng fngr at forarm lv, init","G & W Laboratories, Inc.",$62.89,07
811,Levothyroxine Sodium,Acanthosis nigricans,"PD-Rx Pharmaceuticals, Inc.",$380.36,13
812,SHISEIDO BENEFIANCE NUTRIPERFECT DAY,"Toxic effect of venom of snake, accidental, subs",SHISEIDO AMERICA INC.,$364.20,03
813,Antiseptic,Calcific tendinitis of unspecified shoulder,"Onpoint, Inc",$14.81,07
814,Lisinopril,Unspecified perichondritis of right external ear,Aurobindo Pharma Limited,$754.90,11
815,Drink Ease,"Unsp injury of blood vessels at wrs/hnd lv of left arm, subs",LC Industries,$656.06,07
816,Nobac Plus AB-F,Passenger on bus injured in clsn w oth and unsp mv nontraf,Mason Chemical Company,$787.99,11
817,Vapor Plus,"Postprocedural urethral stricture, female",Pharmadel LLC,$722.85,14
818,Treatment Set TS340053,"Milt op involving oth explosn and fragmt, civilian, sequela","Antigen Laboratories, Inc.",$913.75,13
819,SyGest,"Filamentary keratitis, left eye",Syntrion GmbH,$904.04,01
820,Nystatin,"Degeneration of pupillary margin, left eye","Preferred Pharmaceuticals, Inc",$16.54,03
821,Levothyroxine Sodium,Carbuncle of limb,Bryant Ranch Prepack,$590.85,08
822,L-Methylfolate Calcium,"Burn unsp degree of unsp mult fngr, not inc thumb, sqla",Virtus Pharmaceuticals,$198.61,10
823,ANTIBACTERIAL WIPES Candy Apple,"Congenital absence, atresia and stenosis of jejunum","BB17, LLC",$681.10,10
824,SaniSuds Foam Hand Sanitizer,"Paralytic calcifcn and ossification of muscle, right ank/ft",Palmer Fixture Company,$851.75,01
825,LBEL,Activities involving computer tech and electrnc devices,Ventura Corporation LTD.,$478.51,02
826,NITROGEN,"Inj unsp blood vess at hip and thi lev, left leg, sequela",Welders Supply Company,$63.44,09
827,Health Mart Mucus ER,Oth diseases and conditions compl preg/chldbrth,McKesson,$542.49,14
828,Pandanus Calc. carb.,"Unsp injury of ulnar artery at wrs/hnd lv of right arm, subs",Uriel Pharmacy Inc.,$254.40,03
829,Desert Sage,"Sprain of tarsometatarsal ligament of unsp foot, subs encntr","Antigen Laboratories, Inc.",$97.02,12
830,Diphenoxylate Hydrochloride and Atropine Sulfate,"Displacement of artificial heart, subsequent encounter",Greenstone LLC,$959.81,04
831,METOPROLOL SUCCINATE,"Unsp fracture of shaft of humerus, left arm, init for opn fx",Major Pharmaceuticals,$734.62,11
832,promethazine hydrochloride,"Secondary lacrimal gland atrophy, unspecified lacrimal gland","Caraco Pharmaceutical Laboratories, Ltd.",$90.32,02
833,Tiazac Extended Release,Bent bone of left ulna,Cardinal Health,$850.33,09
834,Soliris,"Hypospadias, penile",Alexion Pharmaceuticals Inc.,$758.80,01
835,Allergy Relief,"Other dislocation of left knee, initial encounter",Mckesson (Sunmark),$159.05,15
836,Triple Antibiotic Plus Pain Relief,Other complications of anesthesia during labor and delivery,"Valu Merchandisers, Co.",$262.72,08
837,Aspirin,"Displ avuls fracture (chip fracture) of right talus, sequela",CVS Pharmacy,$774.06,04
838,Anacardium Homaccord,"Nondisp longitud fx l patella, subs for clos fx w routn heal",Heel Inc,$246.89,14
839,Fanatrex,"Unsp injury of anterior tibial artery, left leg, sequela",Fusion Pharmaceuticals LLC,$596.60,15
840,STRIDEX,"Spontaneous rupture of other tendons, thigh",Blistex inc,$264.97,12
841,Adderall,"Disp fx of medial epicondyle of r humerus, init for opn fx",Teva Select Brands,$121.45,09
842,Tramadol Hydrochloride,"Puncture wound with foreign body, right knee",Rhodes Pharmaceuticals L.P.,$350.99,01
843,"QCare Rx Oral Cleansing and Suctioning System, Q2",Exposure to bed fire due to other burning material,Sage Products LLC,$154.48,04
844,allergy,"Injury of peritoneum, sequela",Kroger Company,$907.47,11
845,PHAZYME,"Displ commnt fx shaft of humer, r arm, 7thG","Preferred Pharmaceuticals, Inc",$761.71,13
846,Spascupreel,"Disp fx of head of right radius, subs for clos fx w malunion",Hameln Pharma GmbH,$45.09,09
847,ARANESP,Other fracture of lesser toe(s),Amgen Inc,$415.33,10
848,Doxepin Hydrochloride,"Hypochondriacal disorder, unspecified",Mylan Institutional Inc.,$531.29,04
849,Flecainide Acetate,"Disp fx of anterior wall of right acetabulum, sequela","Roxane Laboratories, Inc.",$797.24,02
850,Phenylephrine HCl,"Unspecified sprain of sternum, sequela",Cantrell Drug Company,$826.24,05
851,BROMUS INERMIS POLLEN,"Breakdown (mechanical) of indwelling urethral catheter, init","ALK-Abello, Inc.",$896.56,02
852,iBaba,"Insect bite of right eyelid and periocular area, init",Feelgood Health,$211.39,01
853,PREP PLUS PRIME BB BEAUTY BALM COMPACT,"Enteropathic arthropathies, unspecified hip",MAKEUP ART COSMETICS,$609.51,04
854,Insomnia,"Unspecified injury of popliteal vein, right leg, init encntr","Liddell Laboratories, Inc.",$979.00,01
855,LOreal Paris Visible Lift Repair Absolute Rapid Age Reversing Makeup Broad Spectrum SPF 16 Sunscreen,"Concussion w LOC of 30 minutes or less, sequela",L'Oreal USA Products Inc,$522.70,10
856,PROMETHAZINE HYDROCHLORIDE,"Felty's syndrome, unspecified knee",Direct Rx,$287.71,11
857,Lysol,Atresia of esophagus with tracheo-esophageal fistula,Reckitt Benckiser LLC,$111.44,04
858,DOCTORS CHOICE,"Expsr to resdnce or prolonged visit at high altitude, subs",Massco Dental A Division of Dunagin Pharmaceuticals,$693.85,04
859,Pleo Art U,"Conductive hear loss, uni, with restricted hear cntra side",Sanum Kehlbeck GmbH & Co. KG,$924.13,08
860,Lymphdrainex,Burn of first degree of left foot,"Energique, Inc.",$363.52,05
861,Doxepin Hydrochloride,"Disp fx of posterior wall of right acetabulum, init","H.J. Harkins Company, Inc.",$554.18,13
862,Simvastatin,"Oth fx upr end l ulna, subs for opn fx type I/2 w delay heal",Ranbaxy Pharmaceuticals Inc.,$509.77,10
863,Baby Butz,Non-prs chr ulcer of left heel and midft lmt to brkdwn skin,Olen Cosmetics Corporation,$788.76,01
864,Depo-Testosterone,"Other superficial bite of right lesser toe(s), sequela","Physicians Total Care, Inc.",$498.12,14
865,Chewable Aspirin,"Chronic periodontitis, generalized, severe","VALUE MERCHANDISERS COMPANY, INC.",$247.24,07
866,Absolute Total BB SPF37 PA 3Plus,Intestinal obstruction due to inspissated milk,WIZCOZ CORPORATION LTD,$786.70,05
867,DIBROMM,Torus fracture of lower end of unspecified ulna,Major Pharmaceuticals,$181.62,04
868,FIRST BXN Mouthwash,"Disorder of pancreatic internal secretion, unspecified","CutisPharma, Inc",$757.16,07
869,Sweet Gum,"Nondisp fx of shaft of third MC bone, right hand, sequela","Nelco Laboratories, Inc.",$339.75,04
870,RACHEL K MINERAL CC,"Displaced dome fx right talus, subs for fx w delay heal",RACHEL K COSMETICS PTE. LTD.,$277.17,07
871,Glimepiride,Other specified perinatal digestive system disorders,"Blenheim Pharmacal, Inc.",$523.03,10
872,Spironolactone,"Unspecified hearing loss, bilateral","UDL Laboratories, Inc.",$506.28,03
873,Throat Care,"Physeal arrest, femur","Newton Laboratories, Inc.",$156.82,07
874,Folic Acid,"Underdosing of other systemic antibiotics, sequela",REMEDYREPACK INC.,$19.91,09
875,ESIKA,"Spontaneous rupture of other tendons, lower leg","Ventura Corporation (San Juan, P.R)",$21.79,04
876,Furosemide,Sprain of interphalangeal joint of right great toe,Cardinal Health,$89.93,13
877,Arthritis Pain Reliever,"Unspecified adult maltreatment, confirmed, subs encntr",Ohm Laboratories Inc.,$538.87,12
878,Neutrogena Clear Face Break-Out Free Sunscreen,"Traumatic spondylopathy, occipito-atlanto-axial region",Neutrogena Corporation,$437.75,03
879,CAREALL Bacitracin,"Lac w fb of abd wall, right lower q w penet perit cav, init","New World Imports, Inc",$471.36,10
880,Pilocarpine Hydrochloride,"Nondisp fx of capitate bone, right wrist, init for clos fx","Physicians Total Care, Inc.",$104.99,15
881,Leader Allerhist,"Torus fracture of lower end of unsp ulna, init for clos fx",Cardinal Health,$726.85,08
882,DAYWEAR,"Coma scale, eyes open, spontaneous, EMR",ESTEE LAUDER INC,$578.57,13
883,RITE AID RENEWAL,"Sltr-haris Type I physeal fx lower end of ulna, right arm",RITE AID CORPORATION,$972.41,08
884,Dye-Free Wal-Dryl,"Laceration w fb of abd wall, epigst rgn w penet perit cav","WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",$540.04,13
885,Lovastatin,"Explosion of bicycle tire, initial encounter",Mylan Pharmaceuticals Inc.,$66.03,11
886,Divalproex Sodium,"Pnctr w fb of right lesser toe(s) w/o damage to nail, subs",Lake Erie Medical DBA Quality Care Products LLC,$983.99,15
887,Lovastatin,"Unspecified dislocation of unspecified hip, subs encntr",REMEDYREPACK INC.,$454.23,15
888,Naproxen Sodium,"Nondisp fx of prox 3rd of navic bone of l wrs, 7thP",Keltman Pharmaceuticals Inc.,$175.97,13
889,athletes foot,Cutaneous abscess of left axilla,Walgreen Company,$376.10,10
890,Oatmeal Daily Moisturizing,"Lacerat msl/tnd lng extn msl toe at ank/ft lev, r foot, sqla","Davion, Inc",$351.63,01
891,Aluminum Hydroxide,"Poisoning by oth nonsteroid anti-inflam drugs, undetermined",LLC Federal Solutions,$975.04,14
892,SPF-60,"Displ Maisonneuve's fx unsp leg, 7thQ","Neutraderm, Inc.",$957.12,07
893,Pitressin,"Coma scale, best verbal response, inappropriate words, admit",Cardinal Health,$189.79,03
894,Isopropyl alcohol,"Underdosing of inhaled anesthetics, initial encounter",QUALITY CHOICE (Chain Drug Marketing Association),$619.70,07
895,Low-Ogestrel,"Bather struck by nonpowered watercraft, initial encounter","Watson Pharma, Inc.",$403.16,05
896,nighttime cold and flu relief,"Displ commnt fx shaft of unsp tibia, 7thQ",Walgreen Company,$95.26,01
897,USTILAGO MAYDIS,"Displ bicondylar fx l tibia, 7thM","ALK-Abello, Inc.",$126.36,08
898,SESAME SEED,"Frostbite w tissue necrosis of left knee and lower leg, subs","Allergy Laboratories, Inc.",$948.30,05
899,Amlodipine Besylate,"Nondisplaced dome fracture of left acetabulum, sequela",REMEDYREPACK INC.,$875.38,11
900,All Day Allergy Relief,"Burn third degree of unsp single finger except thumb, init",OUR FAMILY (NASH FINCH COMPANY),$85.26,12
901,SEAWEED MEDICLEAR MASK,Diuretics and oth and unsp drug/meds/biol subst,"AMI Cosmetic Co.,Ltd.",$601.16,03
902,Duramorph,Matern care for disproprtn of mixed matern and fetal origin,West-Ward Pharmaceutical Corp.,$243.46,08
903,LIDODERM,"Pnctr w/o foreign body of unsp cheek and TMJ area, sequela",STAT Rx USA LLC,$736.10,13
904,Extra-Virt Plus DHA,Presence of endocrine implants,Virtus Pharmaceuticals LLC,$418.23,03
905,LEADER Cough Drops Menthol Flavor,Visual deprivation nystagmus,Cardinal Health,$726.50,06
906,ZyPram,"Major laceration of right internal jugular vein, subs encntr","Vertical Pharmaceuticals, Inc",$251.82,13
907,Sisal,Diabetes due to underlying condition w hyprosm w coma,"Nelco Laboratories, Inc.",$949.46,06
908,Pleo Chelate,"Other spacecraft accident injuring occupant, init encntr",Sanum Kehlbeck GmbH & Co. KG,$388.59,06
909,Etodolac,"Nicotine dependence, other tobacco product",Rebel Distributors Corp,$456.91,06
910,Henry Schein Acetaminophen,"Subluxation of unspecified thoracic vertebra, subs encntr","Henry Schein, Inc.",$399.40,13
911,TIAZAC,"Other psychoactive substance use, unsp with withdrawal",Valeant Pharmaceuticals North America LLC,$942.28,15
912,Giant Ragweed,"Corrosion of third degree of oth site of trunk, subs encntr","Antigen Laboratories, Inc.",$922.71,05
913,Lisinopril,"Nondisplaced fracture of trapezium, left wrist, sequela",Bryant Ranch Prepack,$50.80,02
914,Soothe and Cool Free,Encounter for exam of eyes and vision w abnormal findings,"Medline Industries, Inc.",$218.68,03
915,LES BEIGES,Acquired absence of unspecified breast and nipple,CHANEL PARFUMS BEAUTE,$474.40,07
916,FLOVENT,"Legal intervnt w firearm disch, law enforc offl inj, sequela",GlaxoSmithKline LLC,$389.91,14
917,DawnMist Deodorant Bar No. 3,"Laceration w foreign body of left cheek and TMJ area, init","Donovan Industries, Inc",$22.62,12
918,Acetaminophen,"Other disorders of patella, right knee","A&Z Pharmaceutical, Inc.",$176.83,06
919,Ibuprofen 200,"Poisoning by opth drugs and preparations, undetermined, init",WALGREEN CO.,$262.67,08
920,CENTER-AL - ATRIPLEX WRIGHTII POLLEN,Other superficial bite of left wrist,"ALK-Abello, Inc.",$915.09,14
921,Cialis,"Severely displaced Zone I fx sacrum, subs for fx w nonunion","Physicians Total Care, Inc.",$574.10,05
922,Azathioprine,Oth soft tissue disorders related to use/pressure of forearm,Mylan Institutional Inc.,$759.17,08
923,Peach,"Corros third degree of unsp mult fngr (nail), not inc thumb","Antigen Laboratories, Inc.",$165.10,03
924,Nauzene,"Aggressive periodontitis, localized, severe","Alva-Amco Pharmacal Companies, Inc.",$38.16,11
925,CARE ONE,"Unspecified subluxation of right wrist and hand, sequela",AMERICAN SALES COMPANY,$699.60,06
926,Peptic Relief,"Injury of nerves at shldr/up arm, unsp arm, sequela",Good Neighbor Pharmacy,$107.66,14
927,ARC FIRST AID Contains 1000 PIECES,"Complete traumatic MCP amputation of r mid finger, sequela",American Red Cross,$118.32,06
928,Tretinoin,"Laceration w fb of unsp great toe w damage to nail, sequela","Triax Pharmaceuticals, LLC",$939.06,01
929,Oat Grain,"Unsp fx the low end l rad, 7thE","Nelco Laboratories, Inc.",$192.94,03
930,Cold Remedy Gan Mao Ling,"Corrosion of unspecified degree of left knee, init encntr",International Nature Nutraceuticals,$484.08,11
931,Fentanyl,"Spontaneous rupture of flexor tendons, forearm",Bryant Ranch Prepack,$272.77,10
932,FLEBEAUTE COLLAGENIC MAKE UP BASE,"Frostbite w tissue necrosis of right finger(s), subs encntr","THEFACESHOP CO., LTD.",$44.08,14
933,Amlodipine Besylate and Benazepril Hydrochloride,"Posterior dislocation of unspecified hip, sequela",Lake Erie Medical DBA Quality Care Products LLC,$183.01,07
934,NUCYNTA,"Acute embolism and thombos unsp deep veins of low extrm, bi","Janssen Pharmaceuticals, Inc.",$506.44,07
935,Synalar,"Other disorders of bone development and growth, left femur","Medimetriks Pharmaceuticals, Inc.",$984.25,04
936,Furosemide,"Driver of hv veh injured in clsn w pedl cyc nontraf, subs","Aphena Pharma Solutions - Tennessee, LLC",$175.23,14
937,Neutrogena Healthy Skin Enhancer,MERRF syndrome,Neutrogena Corporation,$507.63,15
938,Fentanyl,"Placenta percreta, first trimester","Actavis Pharma, Inc.",$631.73,13
939,ropinirole hydrochloride,"Unil femoral hernia, w/o obst or gangrene, not spcf as recur",Cadila Healthcare Limited,$240.63,02
940,Childrens Triacting Nighttime Cold and Cough,"Milt op involving explosn of marine weapons, civilian, subs",QUALITY CHOICE (Chain Drug Marketing Association),$659.63,06
941,INDOCIN,"Bent bone of unsp ulna, 7thE","Iroko Pharmaceuticals, LLC",$407.65,09
942,Painful Urination,"Disorders of magnesium metabolism, unspecified",Washington Homeopathic Products,$27.87,03
943,Metformin Hydrochloride,"Burn of first degree of unspecified lower leg, init encntr",Aurobindo Pharma Limited,$376.72,09
944,Treatment Set TS337026,"Underdosing of unspecified topical agent, initial encounter","Antigen Laboratories, Inc.",$449.51,14
945,Cefuroxime Axetil,"Burn of first degree of left ankle, sequela",Apotex Corp.,$263.11,14
946,PAUL AND JOE SILKY SMOOTH FOUNDATION UV 201,"Superficial foreign body of left thumb, initial encounter","Albion Co., Ltd",$14.80,13
947,C-Plus,"Burn 2nd deg mul sites of right lower limb, ex ank/ft, subs",Hyland's,$113.13,07
948,IOSAT,"Convulsions, not elsewhere classified",Anbex Inc.,$43.88,05
949,Baclofen,"Sprain of radiocarpal joint of unsp wrist, init encntr",Northstar RxLLC,$88.77,04
950,Varico HP,Amniotic fluid embolism in the puerperium,"Natural Creations, Inc.",$396.62,05
951,Fentanyl Citrate,"Disp fx of proximal phalanx of unsp thumb, init for opn fx",West-ward Pharmaceutical Corp.,$986.16,14
952,Colds Flu,Legal intervention involving injury by rubber bullet,Natural Health Supply,$992.09,11
953,Acyclovir,Toxic effect of strychnine and its salts,Aidarex Pharmaceuticals LLC,$380.10,03
954,Double Tussin Intense Cough Reliever,"Displ oblique fx shaft of humer, r arm, 7thK",Reese Pharmaceutical Co,$604.23,12
955,Magnesium Sulfate,"Unsp superficial injury of unspecified forearm, init encntr","Physicians Total Care, Inc.",$535.31,15
956,Glycopyrrolate,"Fx unsp carpal bone, right wrist, subs for fx w delay heal","American Regent, Inc.",$687.95,10
957,"Acetaminophen, Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride",Atopic dermatitis,"AAA Pharmaceutical, Inc.",$26.34,13
958,Direct Safety Extra Strength Aspirin Free,"Other injury of superior mesenteric artery, sequela","Conney Safety Products, LLC",$459.12,02
959,Salonpas pain relieving PATCH HOT,"Thrombosis due to nervous system prosth dev/grft, sequela","Hisamitsu Pharmaceutical Co., Inc.",$971.57,04
960,flu and severe cold and cough,Obs & eval of NB for suspected genetic condition ruled out,Safeway,$608.90,15
961,Shopko Antibacterial Hand Sanitizer,"Burn unsp degree of unsp mult fngr, not inc thumb, init","Jets, Sets, & Elephants Beauty Corp.",$376.19,12
962,Gabapentin,"Asphyx d/t being trap in a (discarded) refrig, slf-hrm, sqla","NCS HealthCare of KY, Inc dba Vangard Labs",$308.90,08
